"CDSID","ortholog","AssociatedFunction"
"LBRM2904_01.0200 (old tag= LbrM.01.0240)","LmjF.01.0210","UBA/TS-N domain/CUE domain/Domain of unknown function (DUF1771)/Smr domain containing protein, putative"
"LBRM2904_01.0210 (old tag= LbrM.01.0250)","LmjF.01.0220","cyclophilin 12, putative"
"LBRM2904_01.0220 (old tag= LbrM.01.0270)","LmjF.01.0230","hypothetical protein, conserved"
"LBRM2904_01.0230 (old tag= LbrM.01.0280)","LmjF.01.0240","DNA excision/repair protein SNF2, putative"
"LBRM2904_01.0240 (old tag= LbrM.01.0290)","LmjF.01.0250","Right handed beta helix region/Periplasmic copper-binding protein (NosD), putative"
"LBRM2904_01.0250 (old tag= -)","LmjF.01.0260","Calmodulin-binding, putative"
"LBRM2904_01.0260 (old tag= LbrM.01.0300)","LmjF.01.0270","thioredoxin, putative"
"LBRM2904_01.0270 (old tag= LbrM.01.0310)","LmjF.01.0280","pseudouridylate synthase-like protein"
"LBRM2904_01.0280 (old tag= LbrM.01.0320)","LmjF.01.0290","Cytochrome c oxidase biogenesis protein Cmc1 like, putative"
"LBRM2904_01.0290 (old tag= -)","-","hypothetical protein"
"LBRM2904_01.0300 (old tag= LbrM.01.0340)","LmjF.01.0310","acidocalcisomal exopolyphosphatase, putative"
"LBRM2904_01.0310 (old tag= LbrM.01.0350)","LmjF.01.0315","hypothetical protein, conserved"
"LBRM2904_01.0320 (old tag= LbrM.01.0360)","LmjF.01.0320","poly(A) export protein, putative"
"LBRM2904_01.0330 (old tag= LbrM.01.0370)","LmjF.01.0330","hypothetical protein, conserved"
"LBRM2904_01.0340 (old tag= LbrM.01.0380)","LmjF.01.0335","Uncharacterised protein family (UPF0041), putative"
"LBRM2904_01.0350 (old tag= LbrM.01.0390)","LmjF.01.0340","hypothetical protein, conserved"
"LBRM2904_01.0360 (old tag= LbrM.01.0400)","LmjF.01.0350","hypothetical protein, conserved"
"LBRM2904_01.0370 (old tag= LbrM.01.0410)","LmjF.01.0360","hypothetical protein, conserved"
"LBRM2904_01.0380 (old tag= LbrM.01.0420)","LmjF.01.0370","Protein of unknown function (DUF788), putative"
"LBRM2904_01.0390 (old tag= LbrM.01.0430)","LmjF.01.0380","Dyggve-Melchior-Clausen syndrome protein, putative"
"LBRM2904_01.0400 (old tag= LbrM.01.0440)","LmjF.01.0390","hypothetical protein, conserved"
"LBRM2904_01.0410 (old tag= LbrM.01.0450)","LmjF.01.0400","hypothetical protein, conserved"
"LBRM2904_01.0420 (old tag= LbrM.01.0460)","LmjF.01.0410","ribosomal protein S7, putative"
"LBRM2904_01.0430 (old tag= LbrM.01.0470)","LmjF.01.0420","ribosomal protein S7, putative"
"LBRM2904_01.0440 (old tag= LbrM.01.0480)","LmjF.01.0430","Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein, putative"
"LBRM2904_01.0450 (old tag= LbrM.01.0490)","LmjF.01.0440","Protein of unknown function (DUF791), putative"
"LBRM2904_01.0460 (old tag= -)","-","hypothetical protein, conserved"
"LBRM2904_01.0470 (old tag= LbrM.01.0500)","LmjF.01.0450","nicotinamidase, putative"
"LBRM2904_01.0480 (old tag= LbrM.01.0510)","LmjF.01.0460","conserved protein"
"LBRM2904_01.0490 (old tag= LbrM.01.0520)","LmjF.01.0470","long-chain-fatty-acid-CoA ligase, putative"
"LBRM2904_01.0500 (old tag= LbrM.01.0530)","-","AMP-binding enzyme, putative"
"LBRM2904_01.0510 (old tag= LbrM.01.0540)","LmjF.01.0500","long-chain-fatty-acid-CoA ligase, putative"
"LBRM2904_01.0520 (old tag= -)","-","hypothetical protein"
"LBRM2904_01.0530 (old tag= LbrM.01.0550)","LmjF.01.0520","long-chain-fatty-acid-CoA ligase, putative"
"LBRM2904_01.0540 (old tag= LbrM.01.0560)","LmjF.01.0530","long-chain-fatty-acid-CoA ligase, putative"
"LBRM2904_01.0550 (old tag= LbrM.01.0570)","LmjF.01.0540","hypothetical protein, conserved"
"LBRM2904_01.0560 (old tag= LbrM.01.0580)","LmjF.01.0550","hypothetical protein, conserved"
"LBRM2904_01.0570 (old tag= LbrM.01.0590)","LmjF.01.0560","pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115), putative"
"LBRM2904_01.0580 (old tag= LbrM.01.0600)","LmjF.01.0570","tricarboxylate carrier, putative"
"LBRM2904_01.0590 (old tag= LbrM.01.0610)","LmjF.01.0580","hypothetical protein, conserved"
"LBRM2904_01.0600 (old tag= LbrM.01.0620)","LmjF.01.0590","KREL1"
"LBRM2904_01.0610 (old tag= LbrM.01.0630)","LmjF.01.0600","Rab-GTPase-TBC domain containing protein, putative"
"LBRM2904_01.0620 (old tag= LbrM.01.0030)","LmjF.01.0610","DNA-damage inducible protein DDI1-like protein"
"LBRM2904_01.0630 (old tag= LbrM.01.0020)","LmjF.01.0620","hypothetical protein, conserved"
"LBRM2904_01.0640 (old tag= LbrM.01.0010)","LmjF.01.0630","hypothetical protein, conserved"
"LBRM2904_01.0650 (old tag= LbrM.01.0790)","LmjF.01.0640","HSP70-like protein"
"LBRM2904_01.0660 (old tag= -)","LmjF.01.0650","mitochondrial-processing peptidase subunit beta, putative"
"LBRM2904_01.0670 (old tag= -)","LmjF.01.0660","hypothetical protein, conserved"
"LBRM2904_01.0680 (old tag= LbrM.01.0650)","LmjF.01.0670","hypothetical protein, conserved"
"LBRM2904_01.0690 (old tag= LbrM.01.0670)","LmjF.01.0690","PLAC8 family, putative"
"LBRM2904_01.0700 (old tag= LbrM.01.0690)","LmjF.01.0710","ubiquitin activating enzyme, putative"
"LBRM2904_01.0710 (old tag= LbrM.01.0700)","LmjF.01.0720","hypothetical protein, conserved"
"LBRM2904_01.0720 (old tag= -)","LmjF.01.0730","Meckel syndrome type 6 protein, putative"
"LBRM2904_01.0730 (old tag= LbrM.01.0710)","LmjF.01.0740","hypothetical protein, conserved"
"LBRM2904_01.0740 (old tag= -)","-","hypothetical protein"
"LBRM2904_01.0750 (old tag= LbrM.01.0720)","LmjF.01.0750","protein kinase, putative"
"LBRM2904_01.0760 (old tag= -)","-","Protein kinase domain containing protein, putative"
"LBRM2904_01.0770 (old tag= -)","-","hypothetical protein"
"LBRM2904_01.0780 (old tag= LbrM.01.0730)","LmjF.01.0760","hypothetical protein, conserved"
"LBRM2904_01.0790 (old tag= LbrM.01.0740)","LmjF.01.0770","eukaryotic initiation factor 4a, putative"
"LBRM2904_01.0800 (old tag= LbrM.01.0740)","LmjF.01.0780","eukaryotic initiation factor 4a, putative"
"LBRM2904_01.0810 (old tag= LbrM.01.0750)","LmjF.01.0790","hypothetical protein, conserved"
"LBRM2904_01.0820 (old tag= LbrM.01.0760)","LmjF.01.0800","hypothetical protein, conserved"
"LBRM2904_01.0830 (old tag= LbrM.01.0770)","LmjF.01.0810","calcium/potassium channel (CAKC), putative"
"LBRM2904_01.0840 (old tag= LbrM.01.0780)","LmjF.01.0820","potassium channel subunit-like protein"
"LBRM2904_01.0850 (old tag= -)","-","histone H4"
"LBRM2904_01.0860 (old tag= -)","-","phosphoglycan beta 1 -3 galactosyltransferase 4"
"LBRM2904_02.0010 (old tag= LbrM.02.0020)","LmjF.02.0020","histone H4"
"LBRM2904_02.0020 (old tag= LbrM.02.0060:pseudogenic_transcript)","-","Metallopeptidase family M24, putative"
"LBRM2904_02.0030 (old tag= LbrM.02.0070)","LmjF.02.0050","cytochrome b-domain protein, putative"
"LBRM2904_02.0040 (old tag= LbrM.02.0080)","LmjF.02.0060","hypothetical protein, conserved"
"LBRM2904_02.0050 (old tag= LbrM.02.0090)","LmjF.02.0070","hypothetical protein, conserved"
"LBRM2904_02.0060 (old tag= LbrM.02.0100)","LmjF.02.0080","hypothetical protein, conserved"
"LBRM2904_02.0070 (old tag= LbrM.02.0110)","LmjF.02.0100:pseudogenic_transcript","hypothetical protein"
"LBRM2904_02.0080 (old tag= LbrM.02.0120)","-","hypothetical protein"
"LBRM2904_02.0090 (old tag= LbrM.02.0120)","LmjF.02.0110","tRNA exportin, putative"
"LBRM2904_02.0100 (old tag= LbrM.02.0130)","LmjF.02.0120","phosphatidylinositol kinase related protein, putative"
"LBRM2904_02.0110 (old tag= LbrM.02.0130)","LmjF.02.0120","phosphatidylinositol kinase related protein, putative"
"LBRM2904_02.0120 (old tag= LbrM.02.0140)","LmjF.02.0130","Zinc-finger of C2H2 type, putative"
"LBRM2904_02.0130 (old tag= LbrM.02.0150)","LmjF.02.0140","Ankyrin repeats (3 copies)/Ankyrin repeats (many copies)/Ankyrin repeat, putative"
"LBRM2904_02.0140 (old tag= LbrM.02.0160)","LmjF.02.0160","phosphoglycan beta 1 -3 galactosyltransferase"
"LBRM2904_02.0150 (old tag= LbrM.02.0180)","LmjF.02.0150","hypothetical protein, conserved"
"LBRM2904_02.0160 (old tag= LbrM.02.0210)","LmjF.02.0170","phosphoglycan beta 1 -3 galactosyltransferase"
"LBRM2904_02.0170 (old tag= -)","-","hypothetical protein"
"LBRM2904_02.0180 (old tag= LbrM.02.0240)","LmjF.02.0200","phosphoglycan beta 1 -3 galactosyltransferase"
"LBRM2904_02.0190 (old tag= LbrM.02.0250)","LmjF.02.0210","phosphoglycan beta 1 -3 galactosyltransferase"
"LBRM2904_02.0200 (old tag= -)","-","hypothetical protein"
"LBRM2904_02.0210 (old tag= LbrM.02.0260)","LmjF.02.0190,LmjF.02.0230","phosphoglycan beta 1 -3 galactosyltransferase"
"LBRM2904_02.0220 (old tag= LbrM.02.0270)","LmjF.02.0240","Glycosyltransferase (GlcNAc), putative"
"LBRM2904_02.0230 (old tag= LbrM.02.0280)","LmjF.02.0250","hypothetical protein, conserved"
"LBRM2904_02.0240 (old tag= -)","LmjF.02.0260","small GTP binding protein rab6-like protein"
"LBRM2904_02.0250 (old tag= LbrM.02.0300)","LmjF.02.0270","hypothetical protein, conserved"
"LBRM2904_02.0260 (old tag= LbrM.02.0330)","LmjF.02.0280","hypothetical protein, conserved"
"LBRM2904_02.0270 (old tag= LbrM.02.0340)","LmjF.02.0290","NIMA/Nek Serine/threonine-protein kinase family, putative"
"LBRM2904_02.0280 (old tag= LbrM.02.0350)","LmjF.02.0300","ATP-binding cassette subfamily A, member 1, putative"
"LBRM2904_02.0300 (old tag= LbrM.02.0360)","LmjF.02.0310","Soluble NSF attachment protein, SNAP, putative"
"LBRM2904_02.0310 (old tag= -)","-","hypothetical protein"
"LBRM2904_02.0320 (old tag= -)","LmjF.02.0320","RNase PH-like protein, putative"
"LBRM2904_02.0330 (old tag= LbrM.02.0370)","LmjF.02.0340","UAA transporter family/EamA-like transporter family/Triose-phosphate Transporter family, putative"
"LBRM2904_02.0340 (old tag= LbrM.02.0380)","LmjF.02.0350","hypothetical protein, conserved"
"LBRM2904_02.0350 (old tag= LbrM.02.0390)","LmjF.02.0360","casein kinase II, alpha chain, putative"
"LBRM2904_02.0360 (old tag= LbrM.02.0400)","LmjF.02.0370","proteasome regulatory non-ATPase subunit 6, putative"
"LBRM2904_02.0370 (old tag= LbrM.02.0410)","LmjF.02.0380","FtsJ-like methyltransferase, putative"
"LBRM2904_02.0380 (old tag= LbrM.02.0420)","LmjF.02.0390","ubiquitin-conjugating enzyme E2, putative"
"LBRM2904_02.0390 (old tag= LbrM.02.0430)","LmjF.02.0410","Mitochondrial protein 81"
"LBRM2904_02.0400 (old tag= LbrM.02.0320)","LmjF.02.0420","hypothetical protein, conserved"
"LBRM2904_02.0410 (old tag= LbrM.02.0310)","LmjF.02.0430","serine peptidase, Clan S-, family S54, putative"
"LBRM2904_02.0420 (old tag= LbrM.02.0440)","LmjF.02.0460","voltage-dependent anion-selective channel, putative"
"LBRM2904_02.0430 (old tag= LbrM.02.0450)","LmjF.02.0470","hypothetical protein, conserved"
"LBRM2904_02.0440 (old tag= LbrM.02.0460)","LmjF.02.0480","hypothetical protein, conserved"
"LBRM2904_02.0450 (old tag= LbrM.02.0470)","LmjF.02.0490","hypothetical protein, conserved"
"LBRM2904_02.0460 (old tag= LbrM.02.0480)","LmjF.02.0500","glycerate kinase, putative"
"LBRM2904_02.0470 (old tag= LbrM.02.0490)","LmjF.02.0510","hypothetical protein, conserved"
"LBRM2904_02.0480 (old tag= LbrM.02.0730)","LmjF.02.0520","hypothetical protein, conserved"
"LBRM2904_02.0490 (old tag= LbrM.02.0500)","LmjF.02.0530","hypothetical protein, conserved"
"LBRM2904_02.0500 (old tag= LbrM.02.0510)","LmjF.02.0540","hypothetical protein, conserved"
"LBRM2904_02.0510 (old tag= LbrM.02.0520)","LmjF.02.0550","hypothetical protein, conserved"
"LBRM2904_02.0520 (old tag= LbrM.02.0530)","LmjF.02.0560","hypothetical protein, conserved"
"LBRM2904_02.0530 (old tag= LbrM.02.0540)","LmjF.02.0570","protein kinase, putative"
"LBRM2904_02.0540 (old tag= -)","-","hypothetical protein"
"LBRM2904_02.0550 (old tag= LbrM.02.0550)","-","hypothetical protein, conserved"
"LBRM2904_02.0560 (old tag= LbrM.16.0790)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0570 (old tag= LbrM.16.0790)","-","hypothetical protein, conserved"
"LBRM2904_02.0580 (old tag= LbrM.16.0470)","-","hypothetical protein, conserved"
"LBRM2904_02.0590 (old tag= LbrM.28.0010)","-","hypothetical protein, conserved"
"LBRM2904_02.0600 (old tag= LbrM.30.3190)","-","Phage integrase family, putative"
"LBRM2904_02.0610 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0620 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0630 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0640 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0650 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0660 (old tag= LbrM.16.0470)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0670 (old tag= LbrM.02.0760)","-","hypothetical protein, conserved"
"LBRM2904_02.0680 (old tag= LbrM.02.0550)","-","Reverse transcriptase (RNA-dependent DNA polymerase), putative"
"LBRM2904_02.0700 (old tag= LbrM.02.0560)","LmjF.02.0580","hypothetical protein, conserved"
"LBRM2904_02.0710 (old tag= LbrM.02.0570)","LmjF.02.0590","TPR repeat/Tetratricopeptide repeat, putative"
"LBRM2904_02.0720 (old tag= LbrM.02.0580)","LmjF.02.0600","ARP2/3 complex subunit, putative"
"LBRM2904_02.0730 (old tag= LbrM.02.0590)","LmjF.02.0610","hypothetical protein, conserved"
"LBRM2904_02.0740 (old tag= LbrM.02.0600)","LmjF.02.0620","WD domain, G-beta repeat, putative"
"LBRM2904_02.0750 (old tag= LbrM.02.0610)","LmjF.02.0630","gamma-glutamyl phosphate reductase-like protein"
"LBRM2904_02.0760 (old tag= LbrM.02.0620)","LmjF.02.0640","hypothetical protein, conserved"
"LBRM2904_02.0770 (old tag= LbrM.02.0620)","LmjF.02.0640","hypothetical protein, conserved"
"LBRM2904_02.0780 (old tag= LbrM.02.0630)","LmjF.02.0650","hypothetical protein, conserved"
"LBRM2904_02.0790 (old tag= LbrM.02.0640)","LmjF.02.0660","Nop14-like family, putative"
"LBRM2904_02.0800 (old tag= LbrM.02.0650)","LmjF.02.0670","mitochondrial carrier protein, putative"
"LBRM2904_02.0810 (old tag= -)","LmjF.02.0690","hypothetical protein, conserved"
"LBRM2904_02.0820 (old tag= LbrM.27.2740)","LmjF.02.0700","hypothetical protein, conserved"
"LBRM2904_02.0830 (old tag= LbrM.27.2750)","LmjF.02.0710","Heat shock protein 100 kDa"
"LBRM2904_02.0850 (old tag= LbrM.27.2800)","LmjF.02.0740","metallo-peptidase, Clan MA(E), Family M3"
"LBRM2904_03.0020 (old tag= LbrM.03.0030)","LmjF.03.0010","Leucine Rich Repeat, putative"
"LBRM2904_03.0030 (old tag= LbrM.03.0040)","LmjF.03.0020","hypothetical protein, conserved"
"LBRM2904_03.0040 (old tag= LbrM.03.0050)","LmjF.03.0030","D-3-phosphoglycerate dehydrogenase-like protein"
"LBRM2904_03.0050 (old tag= LbrM.03.0060)","LmjF.03.0040","2-aminoethylphosphonate-pyruvateaminotransferas e-like protein"
"LBRM2904_03.0060 (old tag= LbrM.03.0070)","LmjF.03.0060","Met-10+ like-protein/Methyltransferase small domain/Methyltransferase domain containing protein, putative"
"LBRM2904_03.0070 (old tag= LbrM.03.0080)","LmjF.03.0070","hypothetical protein, conserved"
"LBRM2904_03.0080 (old tag= LbrM.03.0090)","LmjF.03.0080","glycerol-3-phosphate acyl transferase"
"LBRM2904_03.0090 (old tag= LbrM.03.0100)","LmjF.03.0090","DNA primase large subunit, putative"
"LBRM2904_03.0100 (old tag= LbrM.03.0110)","LmjF.03.0100","cytochrome c oxidase assembly protein, putative"
"LBRM2904_03.0110 (old tag= -)","-","hypothetical protein"
"LBRM2904_03.0120 (old tag= LbrM.03.0120)","LmjF.03.0110","hypothetical protein, conserved"
"LBRM2904_03.0130 (old tag= LbrM.03.0130)","LmjF.03.0120","Leucine Rich Repeat, putative"
"LBRM2904_03.0140 (old tag= LbrM.03.0140)","LmjF.03.0130","acetyltransferase, putative"
"LBRM2904_03.0150 (old tag= LbrM.03.0150)","LmjF.03.0140","hypothetical protein, conserved"
"LBRM2904_03.0160 (old tag= LbrM.03.0160)","LmjF.03.0150","hypothetical protein, conserved"
"LBRM2904_03.0170 (old tag= LbrM.03.0170)","LmjF.03.0160","ATP-binding cassette protein subfamily F, member 1, putative"
"LBRM2904_03.0180 (old tag= LbrM.03.0180)","LmjF.03.0170","hypothetical protein, conserved"
"LBRM2904_03.0190 (old tag= LbrM.03.0190)","LmjF.03.0180","zinc-finger of acetyl-transferase ESCO, putative"
"LBRM2904_03.0200 (old tag= LbrM.03.0200)","LmjF.03.0190","U2 splicing auxiliary factor, putative"
"LBRM2904_03.0210 (old tag= LbrM.03.0210)","LmjF.03.0200","delta-1-pyrroline-5-carboxylate dehydrogenase, putative"
"LBRM2904_03.0220 (old tag= LbrM.03.0220)","LmjF.03.0210","protein kinase, putative"
"LBRM2904_03.0230 (old tag= LbrM.03.0230)","LmjF.03.0220","hypothetical protein, conserved"
"LBRM2904_03.0240 (old tag= LbrM.03.0240)",",LmjF.03.0230","long-chain-fatty-acid-CoA ligase, putative"
"LBRM2904_03.0250 (old tag= LbrM.03.0260)","LmjF.03.0250","ribosomal protein L38, putative"
"LBRM2904_03.0260 (old tag= LbrM.03.0280)","LmjF.03.0270","hypothetical protein, conserved"
"LBRM2904_03.0270 (old tag= LbrM.03.0290)","LmjF.03.0280","hypothetical protein, conserved"
"LBRM2904_03.0280 (old tag= LbrM.03.0300)","LmjF.03.0310","hypothetical protein, conserved"
"LBRM2904_03.0290 (old tag= LbrM.03.0310)","LmjF.03.0320","hypothetical protein, conserved"
"LBRM2904_03.0300 (old tag= LbrM.03.0320)","LmjF.03.0330","hypothetical protein, conserved"
"LBRM2904_03.0310 (old tag= LbrM.03.0330)","LmjF.03.0340","DDRGK domain containing protein, putative"
"LBRM2904_03.0320 (old tag= LbrM.03.0340)","LmjF.03.0350","protein kinase, putative"
"LBRM2904_03.0330 (old tag= -)","LmjF.03.0360","hypothetical protein, conserved"
"LBRM2904_03.0340 (old tag= -)","-","hypothetical protein"
"LBRM2904_03.0350 (old tag= LbrM.03.0360)","LmjF.03.0380,LmjF.03.0400","GPR1/FUN34/yaaH family, putative"
"LBRM2904_03.0360 (old tag= LbrM.03.0350)","LmjF.03.0380,LmjF.03.0400","GPR1/FUN34/yaaH family, putative"
"LBRM2904_03.0370 (old tag= LbrM.03.0350)","LmjF.03.0380,LmjF.03.0400","GPR1/FUN34/yaaH family, putative"
"LBRM2904_03.0380 (old tag= LbrM.03.0370)","LmjF.03.0410","MFS transporter, putative"
"LBRM2904_03.0390 (old tag= LbrM.03.0380)","LmjF.03.0420","PTP1-interacting protein, 39 kDa, putative"
"LBRM2904_03.0400 (old tag= -)","-","hypothetical protein"
"LBRM2904_03.0410 (old tag= LbrM.03.0390)","LmjF.03.0430","60S acidic ribosomal protein P2, putative"
"LBRM2904_03.0420 (old tag= LbrM.03.0400)","LmjF.03.0440","60S acidic ribosomal protein P2, putative"
"LBRM2904_03.0430 (old tag= LbrM.03.0410)","LmjF.03.0450","TLD domain protein, conserved"
"LBRM2904_03.0440 (old tag= LbrM.03.0950)","LmjF.03.0460","hypothetical protein, conserved"
"LBRM2904_03.0450 (old tag= LbrM.28.1460)","LmjF.03.0480","Ankyrin repeats (3 copies)/Ankyrin repeat/Ankyrin repeats (many copies)/DHHC palmitoyltransferase, putative"
"LBRM2904_03.0460 (old tag= LbrM.28.1470)","LmjF.03.0490","hypothetical protein, conserved"
"LBRM2904_03.0470 (old tag= LbrM.28.3250)","LmjF.03.0500","phosphate-Repressible Phosphate Permease-like protein"
"LBRM2904_03.0480 (old tag= LbrM.03.0420)","LmjF.03.0510","hypothetical protein, conserved"
"LBRM2904_03.0490 (old tag= LbrM.03.0430)","LmjF.03.0520","RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain), putative"
"LBRM2904_03.0500 (old tag= LbrM.03.0440)","LmjF.03.0530","hypothetical protein, conserved"
"LBRM2904_03.0510 (old tag= LbrM.03.0450)","LmjF.03.0540","26S protease regulatory subunit, putative"
"LBRM2904_03.0520 (old tag= LbrM.03.0460)","LmjF.03.0550","hypothetical protein, conserved"
"LBRM2904_03.0530 (old tag= LbrM.03.0470)","LmjF.03.0560","hypothetical protein, conserved"
"LBRM2904_03.0540 (old tag= LbrM.03.0480)","LmjF.03.0570","quinone oxidoreductase, putative"
"LBRM2904_03.0550 (old tag= LbrM.03.0490)","LmjF.03.0580","hypothetical protein, conserved"
"LBRM2904_03.0560 (old tag= LbrM.03.0500)","LmjF.03.0590","DNA repair helicase, putative"
"LBRM2904_03.0570 (old tag= LbrM.15.1330)","LmjF.03.0590","Helicase C-terminal domain containing protein, putative"
"LBRM2904_03.0580 (old tag= LbrM.15.1340)","LmjF.03.0600","arginine N-methyltransferase, putative"
"LBRM2904_03.0590 (old tag= LbrM.03.0510)","LmjF.03.0610","kinase-like protein"
"LBRM2904_03.0600 (old tag= LbrM.03.0520)","LmjF.03.0620","mitochondrial protein 99, putative"
"LBRM2904_03.0610 (old tag= -)","LmjF.03.0630","hypothetical protein, conserved"
"LBRM2904_03.0620 (old tag= LbrM.03.0540)","LmjF.03.0640","hypothetical protein, conserved"
"LBRM2904_03.0630 (old tag= LbrM.03.0550)","LmjF.03.0650","hypothetical protein, conserved"
"LBRM2904_03.0640 (old tag= LbrM.03.0560)","LmjF.03.0660","hypothetical protein, conserved"
"LBRM2904_03.0650 (old tag= LbrM.03.0570)","LmjF.03.0670","hypothetical protein, conserved"
"LBRM2904_03.0660 (old tag= LbrM.03.0580)","LmjF.03.0680","Uroporphyrinogen-III synthase HemD, putative"
"LBRM2904_03.0670 (old tag= LbrM.03.0590)","LmjF.03.0690","DEAD/DEAH box helicase/Type III restriction enzyme, res subunit/Helicase conserved C-terminal domain containing protein, putative"
"LBRM2904_03.0680 (old tag= LbrM.03.0600)","LmjF.03.0700","hypothetical protein, conserved"
"LBRM2904_03.0690 (old tag= LbrM.03.0610)","LmjF.03.0710","Aminoacyl-tRNA editing domain containing protein, putative"
"LBRM2904_03.0700 (old tag= LbrM.03.0620)","LmjF.03.0720","hypothetical protein, conserved"
"LBRM2904_03.0710 (old tag= LbrM.03.0630)","LmjF.03.0730","hypothetical protein, conserved"
"LBRM2904_03.0720 (old tag= LbrM.03.0640)","LmjF.03.0740","cytochrome c oxidase copper chaperone, putative"
"LBRM2904_03.0730 (old tag= LbrM.03.0650)","LmjF.03.0750","TatD related DNase, putative"
"LBRM2904_03.0740 (old tag= -)","LmjF.03.0760","hypothetical protein, conserved"
"LBRM2904_03.0750 (old tag= LbrM.03.0670)","LmjF.03.0770","Ubiquitin-like domain containing protein, putative"
"LBRM2904_03.0760 (old tag= LbrM.03.0680)","LmjF.03.0780","serine/threonine-protein kinase, putative"
"LBRM2904_03.0770 (old tag= LbrM.03.0690)","LmjF.03.0790","hypothetical protein, conserved"
"LBRM2904_03.0780 (old tag= LbrM.03.0700)","LmjF.03.0800","6-phosphofructo-2-kinase/fructose-2 -6-biphosphatase, putative"
"LBRM2904_03.0790 (old tag= LbrM.03.0720)","LmjF.03.0810","hypothetical protein, conserved"
"LBRM2904_03.0800 (old tag= LbrM.03.0730)","LmjF.03.0820","hypothetical protein, conserved"
"LBRM2904_03.0810 (old tag= -)","-","hypothetical protein"
"LBRM2904_03.0820 (old tag= LbrM.03.0740)","LmjF.03.0830","hypothetical protein, conserved"
"LBRM2904_03.0830 (old tag= LbrM.03.0750)","LmjF.03.0840","hypothetical protein, conserved"
"LBRM2904_03.0840 (old tag= LbrM.03.0760)","LmjF.03.0850","hypothetical protein, conserved"
"LBRM2904_03.0850 (old tag= LbrM.03.0770)","LmjF.03.0860","hypothetical protein, conserved"
"LBRM2904_03.0860 (old tag= LbrM.03.0780)","LmjF.03.0870","hypothetical protein, conserved"
"LBRM2904_03.0870 (old tag= LbrM.03.0790)","LmjF.03.0880","hypothetical protein, conserved"
"LBRM2904_03.0880 (old tag= LbrM.03.0800)","LmjF.03.0890","NLI interacting factor-like phosphatase, putative"
"LBRM2904_03.0890 (old tag= LbrM.03.0810)","LmjF.03.0900","peter pan protein, putative"
