"CDSID","ortholog","AssociatedFunction"
"LDHU3_01.0440","LmjF.01.0390","hypothetical protein conserved"
"LDHU3_01.0450","LmjF.01.0400","hypothetical protein conserved"
"LDHU3_01.0460","LmjF.01.0410","ribosomal protein S7 putative"
"LDHU3_01.0470","LmjF.01.0420","ribosomal protein S7 putative"
"LDHU3_01.0480","LmjF.01.0430","Ring finger domain/Zn-finger in ubiquitin-hydrolases and other protein putative"
"LDHU3_01.0490","LmjF.01.0440","Protein of unknown function (DUF791) putative"
"LDHU3_01.0520","LmjF.01.0450","nicotinamidase putative"
"LDHU3_01.0530","LmjF.01.0460","conserved protein"
"LDHU3_01.0550","LmjF.01.0470","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_01.0560","LmjF.01.0480","beta eliminating lyaseputative"
"LDHU3_01.0580","LmjF.01.0490","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_01.0590","LmjF.01.0500","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_01.0600","LmjF.01.0510","hypothetical protein"
"LDHU3_01.0610","LmjF.01.0520","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_01.0630","LmjF.01.0530","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_01.0640","LmjF.01.0540","hypothetical protein conserved"
"LDHU3_01.0650","LmjF.01.0550","hypothetical protein conserved"
"LDHU3_01.0660","LmjF.01.0560","pre-mRNA processing factor 3 (PRP3)/Protein of unknown function (DUF1115) putative"
"LDHU3_01.0670","LmjF.01.0570","tricarboxylate carrier putative"
"LDHU3_01.0680","LmjF.01.0580","hypothetical protein conserved"
"LDHU3_01.0690","LmjF.01.0590","KREL1"
"LDHU3_01.0700","LmjF.01.0600","Rab-GTPase-TBC domain containing protein putative"
"LDHU3_01.0710","LmjF.01.0610","DNA-damage inducible protein DDI1-like protein"
"LDHU3_01.0720","LmjF.01.0620","hypothetical protein conserved"
"LDHU3_01.0730","LmjF.01.0630","hypothetical protein conserved"
"LDHU3_01.0740","LmjF.01.0640","HSP70-like protein"
"LDHU3_01.0750","LmjF.01.0650","metallo-peptidase Clan ME Family M16"
"LDHU3_01.0760","LmjF.01.0660","hypothetical protein conserved"
"LDHU3_01.0770","LmjF.01.0670","hypothetical protein conserved"
"LDHU3_01.0790","LmjF.01.0680","hypothetical protein conserved"
"LDHU3_01.0800","LmjF.01.0690","PLAC8 family putative"
"LDHU3_01.0820","LmjF.01.0700","PLAC8 family putative"
"LDHU3_01.0830","LmjF.01.0710","ubiquitin activating enzyme putative"
"LDHU3_01.0840","LmjF.01.0720","hypothetical protein conserved"
"LDHU3_01.0850","LmjF.01.0730","Meckel syndrome type 6 protein putative"
"LDHU3_01.0860","LmjF.01.0740","hypothetical protein conserved"
"LDHU3_01.0870","LmjF.01.0750","protein kinase putative"
"LDHU3_01.0880","LmjF.01.0760","hypothetical protein conserved"
"LDHU3_01.0890","LmjF.01.0770","eukaryotic initiation factor 4a putative"
"LDHU3_01.0900","LmjF.01.0780","eukaryotic initiation factor 4a putative"
"LDHU3_01.0910","LmjF.01.0790","hypothetical protein conserved"
"LDHU3_01.0930","LmjF.01.0800","hypothetical protein conserved"
"LDHU3_01.0940","LmjF.01.0810","calcium/potassium channel (CAKC) putative"
"LDHU3_01.0950","LmjF.01.0820","potassium channel subunit-like protein"
"LDHU3_01.0970","LmjF.01.0830","Peptidase family M3 putative"
"LDHU3_02.0010","LmjF.02.0010","phosphoglycan beta 13 galactosyltransferase 4"
"LDHU3_02.0030","LmjF.02.0020","histone H4"
"LDHU3_02.0040","LmjF.02.0030","tagatose-6-phosphate kinase-like protein"
"LDHU3_02.0050","LmjF.02.0040","aminopeptidase P1 putative"
"LDHU3_02.0080","LmjF.02.0050","cytochrome b-domain protein putative"
"LDHU3_02.0090","LmjF.02.0060","hypothetical protein conserved"
"LDHU3_02.0100","LmjF.02.0070","hypothetical protein conserved"
"LDHU3_02.0120","LmjF.02.0080","hypothetical protein conserved"
"LDHU3_02.0130","LmjF.02.0085","hypothetical protein conserved"
"LDHU3_02.0140","LmjF.02.0090","hypothetical protein conserved"
"LDHU3_02.0160","LmjF.02.0100","hypothetical protein"
"LDHU3_02.0170","LmjF.02.0110","tRNA exportin putative"
"LDHU3_02.0180","LmjF.02.0120","phosphatidylinositol kinase related protein putative"
"LDHU3_02.0190","LmjF.02.0130","Zinc-finger of C2H2 type putative"
"LDHU3_02.0200","LmjF.02.0140","Ankyrin repeats (many copies)/Ankyrin repeats (3 copies)/Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_02.0210","LmjF.02.0150","Vps51/Vps67 putative"
"LDHU3_02.0230","LmjF.02.0160","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0240","LmjF.02.0170","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0250","LmjF.02.0200","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0260","LmjF.20.1540, LmjF.20.1750","hypothetical protein conserved"
"LDHU3_02.0270","LmjF.02.0210","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0280","LmjF.02.0160, LmjF.02.0170, LmjF.02.0200, LmjF.02.0210","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0290","LmjF.02.0180, LmjF.02.0220","phosphoglycan beta 12 arabinosyltransferase"
"LDHU3_02.0300","LmjF.02.0190, LmjF.02.0230","phosphoglycan beta 13 galactosyltransferase"
"LDHU3_02.0310","LmjF.02.0240","Glycosyltransferase (GlcNAc) putative"
"LDHU3_02.0320","LmjF.02.0250","hypothetical protein conserved"
"LDHU3_02.0330","LmjF.02.0260","small GTP binding protein rab6-like protein"
"LDHU3_02.0340","LmjF.02.0270","hypothetical protein conserved"
"LDHU3_02.0350","LmjF.02.0280","hypothetical protein conserved"
"LDHU3_02.0360","LmjF.02.0290","NIMA/Nek Serine/threonine-protein kinase family putative"
"LDHU3_02.0370","LmjF.02.0300","ATP-binding cassette subfamily A member 1 putative"
"LDHU3_02.0390","LmjF.02.0310","Soluble NSF attachment protein SNAP putative"
"LDHU3_02.0400","LmjF.02.0320","RNase PH-like protein putative"
"LDHU3_02.0410","LmjF.02.0330","glycosyl transferase putative"
"LDHU3_02.0420","LmjF.02.0340","EamA-like transporter family/Triose-phosphate Transporter family/UAA transporter family putative"
"LDHU3_02.0430","LmjF.02.0350","hypothetical protein conserved"
"LDHU3_02.0440","LmjF.02.0360","casein kinase II alpha chain putative"
"LDHU3_02.0450","LmjF.02.0370","proteasome regulatory non-ATPase subunit 6 putative"
"LDHU3_02.0460","LmjF.02.0380","FtsJ-like methyltransferase putative"
"LDHU3_02.0470","LmjF.02.0390","ubiquitin-conjugating enzyme E2 putative"
"LDHU3_02.0480","LmjF.02.0410","Mitochondrial protein 81"
"LDHU3_02.0490","LmjF.02.0420","hypothetical protein conserved"
"LDHU3_02.0510","LmjF.02.0430","serine peptidase Clan S- family S54 putative"
"LDHU3_02.0520","LmjF.02.0440","Transmembrane amino acid transporter protein putative"
"LDHU3_02.0530","LmjF.02.0450","voltage-dependent anion-selective channel putative"
"LDHU3_02.0550","LmjF.02.0460","voltage-dependent anion-selective channel putative"
"LDHU3_02.0560","LmjF.02.0470","hypothetical protein conserved"
"LDHU3_02.0570","LmjF.02.0480","hypothetical protein conserved"
"LDHU3_02.0580","LmjF.02.0490","hypothetical protein conserved"
"LDHU3_02.0590","LmjF.02.0500","glycerate kinase putative"
"LDHU3_02.0600","LmjF.02.0510","hypothetical protein conserved"
"LDHU3_02.0610","LmjF.02.0520","hypothetical protein conserved"
"LDHU3_02.0640","LmjF.02.0530","hypothetical protein conserved"
"LDHU3_02.0650","LmjF.02.0540","hypothetical protein conserved"
"LDHU3_02.0660","LmjF.02.0550","hypothetical protein conserved"
"LDHU3_02.0670","LmjF.02.0560","hypothetical protein conserved"
"LDHU3_02.0680","LmjF.02.0570","protein kinase putative"
"LDHU3_02.0720","LmjF.02.0580","hypothetical protein conserved"
"LDHU3_02.0730","LmjF.02.0590","TPR repeat/Tetratricopeptide repeat putative"
"LDHU3_02.0740","LmjF.02.0600","ARP2/3 complex subunit putative"
"LDHU3_02.0750","LmjF.02.0610","hypothetical protein conserved"
"LDHU3_02.0760","LmjF.02.0620","hypothetical protein conserved"
"LDHU3_02.0770","LmjF.02.0630","gamma-glutamyl phosphate reductase-like protein"
"LDHU3_02.0780","LmjF.02.0640","hypothetical protein conserved"
"LDHU3_02.0790","LmjF.02.0650","hypothetical protein conserved"
"LDHU3_02.0800","LmjF.02.0660","Nop14-like family putative"
"LDHU3_02.0810","LmjF.02.0670","mitochondrial carrier protein putative"
"LDHU3_02.0820","LmjF.02.0680","hypothetical protein conserved"
"LDHU3_02.0830","LmjF.02.0690","hypothetical protein conserved"
"LDHU3_02.0840","LmjF.02.0700","hypothetical protein conserved"
"LDHU3_02.0850","LmjF.02.0710","Heat shock protein 100 kDa"
"LDHU3_02.0870","LmjF.02.0740","Peptidase family M3 putative"
"LDHU3_03.0010","LmjF.03.0010","Leucine rich repeat/Leucine Rich Repeat putative"
"LDHU3_03.0020","LmjF.03.0020","hypothetical protein conserved"
"LDHU3_03.0030","LmjF.03.0030","D-3-phosphoglycerate dehydrogenase-like protein"
"LDHU3_03.0040","LmjF.03.0040","2-aminoethylphosphonate:pyruvateaminotransferas e-like protein"
"LDHU3_03.0050","LmjF.03.0060","Met-10+ like-protein/Methyltransferase small domain/Methyltransferase domain containing protein putative"
"LDHU3_03.0060","LmjF.03.0070","hypothetical protein conserved"
"LDHU3_03.0070","LmjF.03.0080","glycerol-3-phosphate acyl transferase"
"LDHU3_03.0080","LmjF.03.0090","DNA primase large subunit putative"
"LDHU3_03.0090","LmjF.03.0100","cytochrome c oxidase assembly protein putative"
"LDHU3_03.0100","LmjF.03.0110","hypothetical protein conserved"
"LDHU3_03.0110","LmjF.03.0120","Leucine Rich Repeat putative"
"LDHU3_03.0120","LmjF.03.0130","acetyltransferase putative"
"LDHU3_03.0130","LmjF.03.0140","hypothetical protein conserved"
"LDHU3_03.0140","LmjF.03.0150","hypothetical protein conserved"
"LDHU3_03.0150","LmjF.03.0160","ATP-binding cassette protein subfamily F member 1 putative"
"LDHU3_03.0160","LmjF.03.0170","hypothetical protein conserved"
"LDHU3_03.0170","LmjF.03.0180","zinc-finger of acetyl-transferase ESCO putative"
"LDHU3_03.0180","LmjF.03.0190","U2 splicing auxiliary factor putative"
"LDHU3_03.0200","LmjF.03.0200","delta-1-pyrroline-5-carboxylate dehydrogenase putative"
"LDHU3_03.0210","LmjF.03.0210","protein kinase putative"
"LDHU3_03.0220","LmjF.03.0220","hypothetical protein conserved"
"LDHU3_03.0230","LmjF.03.0230","long-chain-fatty-acid-CoA ligase putative"
"LDHU3_03.0240","LmjF.03.0240","hypothetical protein conserved"
"LDHU3_03.0250","LmjF.03.0250","ribosomal protein L38 putative"
"LDHU3_03.0260","LmjF.03.0260","hypothetical protein conserved"
"LDHU3_03.0270","LmjF.03.0270","FYVE zinc finger/Apolipoprotein A1/A4/E domain containing protein putative"
"LDHU3_03.0280","LmjF.03.0280","hypothetical protein conserved"
"LDHU3_03.0290","LmjF.03.0290","hypothetical protein"
"LDHU3_03.0300","LmjF.03.0310","hypothetical protein conserved"
"LDHU3_03.0310","LmjF.03.0320","hypothetical protein conserved"
"LDHU3_03.0320","LmjF.03.0330","hypothetical protein conserved"
"LDHU3_03.0330","LmjF.03.0340","DDRGK domain containing protein putative"
"LDHU3_03.0340","LmjF.03.0350","protein kinase putative"
"LDHU3_03.0350","LmjF.03.0360","hypothetical protein conserved"
"LDHU3_03.0360","LmjF.03.0370","GPR1/FUN34/yaaH family putative"
"LDHU3_03.0370","LmjF.03.0380","GPR1/FUN34/yaaH family putative"
"LDHU3_03.0380","LmjF.03.0390","GPR1/FUN34/yaaH family putative"
"LDHU3_03.0390","LmjF.03.0400","GPR1/FUN34/yaaH family putative"
"LDHU3_03.0400","LmjF.03.0410","MFS transporter putative"
"LDHU3_03.0410","LmjF.03.0420","PTP1-interacting protein 39 kDa putative"
"LDHU3_03.0420","LmjF.03.0430","60S acidic ribosomal protein P2 putative"
"LDHU3_03.0430","LmjF.03.0440","60S acidic ribosomal protein P2 putative"
"LDHU3_03.0440","LmjF.03.0450","TLD domain protein conserved"
"LDHU3_03.0450","LmjF.03.0460","hypothetical protein conserved"
"LDHU3_03.0460","-","hypothetical protein"
"LDHU3_03.0470","LmjF.03.0470","hypothetical protein conserved"
"LDHU3_03.0480","LmjF.03.0480","Ankyrin repeats (3 copies)/Ankyrin repeats (many copies)/Ankyrin repeat/DHHC palmitoyltransferase putative"
"LDHU3_03.0490","LmjF.03.0490","hypothetical protein conserved"
"LDHU3_03.0500","LmjF.03.0500","phosphate-Repressible Phosphate Permease-like protein"
"LDHU3_03.0510","LmjF.03.0510","hypothetical protein conserved"
"LDHU3_03.0520","LmjF.03.0520","RNA recognition motif. (a.k.a. RRM RBD or RNP domain) putative"
"LDHU3_03.0530","LmjF.03.0530","hypothetical protein conserved"
"LDHU3_03.0540","LmjF.03.0540","26S protease regulatory subunit putative"
"LDHU3_03.0550","LmjF.03.0550","hypothetical protein conserved"
"LDHU3_03.0560","LmjF.03.0560","hypothetical protein conserved"
"LDHU3_03.0580","LmjF.03.0570","quinone oxidoreductase putative"
"LDHU3_03.0590","LmjF.03.0580","hypothetical protein conserved"
"LDHU3_03.0600","LmjF.03.0590","DNA repair helicase putative"
"LDHU3_03.0610","LmjF.03.0600","arginine N-methyltransferase putative"
"LDHU3_03.0630","LmjF.03.0610","kinase-like protein"
"LDHU3_03.0640","LmjF.03.0620","mitochondrial protein 99 putative"
"LDHU3_03.0650","LmjF.03.0630","hypothetical protein conserved"
"LDHU3_03.0660","LmjF.03.0640","hypothetical protein conserved"
"LDHU3_03.0670","LmjF.03.0650","hypothetical protein conserved"
"LDHU3_03.0680","LmjF.03.0660","hypothetical protein conserved"
"LDHU3_03.0690","LmjF.03.0670","hypothetical protein conserved"
"LDHU3_03.0750","LmjF.03.0680","Uroporphyrinogen-III synthase HemD putative"
"LDHU3_03.0760","LmjF.03.0690","DEAD/DEAH box helicase/Type III restriction enzyme res subunit putative"
"LDHU3_03.0770","LmjF.03.0700","hypothetical protein conserved"
"LDHU3_03.0780","LmjF.03.0710","Aminoacyl-tRNA editing domain containing protein putative"
"LDHU3_03.0790","LmjF.03.0720","hypothetical protein conserved"
"LDHU3_03.0800","LmjF.03.0730","hypothetical protein conserved"
"LDHU3_03.0810","LmjF.03.0740","cytochrome c oxidase copper chaperone putative"
"LDHU3_03.0820","LmjF.03.0750","TatD related DNase putative"
"LDHU3_03.0830","LmjF.03.0760","hypothetical protein conserved"
"LDHU3_03.0840","LmjF.03.0770","Ubiquitin-like domain containing protein putative"
"LDHU3_03.0850","LmjF.03.0780","serine/threonine-protein kinase putative"
"LDHU3_03.0860","LmjF.03.0790","hypothetical protein conserved"
"LDHU3_03.0870","LmjF.03.0800","6-phosphofructo-2-kinase/fructose-26-biphosphatase putative"
"LDHU3_03.0880","LmjF.03.0810","hypothetical protein conserved"
"LDHU3_03.0890","LmjF.03.0820","hypothetical protein conserved"
"LDHU3_03.0900","-","CDP-alcohol phosphatidyltransferase putative"
"LDHU3_03.0910","LmjF.03.0830","hypothetical protein conserved"
"LDHU3_03.0920","LmjF.03.0840","hypothetical protein conserved"
"LDHU3_03.0930","LmjF.03.0850","hypothetical protein conserved"
"LDHU3_03.0940","LmjF.03.0860","hypothetical protein conserved"
"LDHU3_03.0950","LmjF.03.0870","hypothetical protein conserved"
"LDHU3_03.0960","LmjF.03.0880","hypothetical protein conserved"
"LDHU3_03.0970","LmjF.03.0890","NLI interacting factor-like phosphatase putative"
"LDHU3_03.0990","LmjF.03.0900","peter pan protein putative"
"LDHU3_03.1000","LmjF.03.0910","inorganic pyrophosphatase putative"
"LDHU3_03.1010","LmjF.03.0920","Got1/Sft2-like family putative"
"LDHU3_03.1020","LmjF.03.0930","Amidohydrolase/Amidohydrolase family putative"
"LDHU3_03.1030","LmjF.03.0940","hypothetical protein conserved"
"LDHU3_03.1040","LmjF.03.0950","Multicopper oxidase putative"
"LDHU3_03.1050","LmjF.03.0960","hypothetical protein conserved"
"LDHU3_03.1060","LmjF.03.0970","MORN repeat putative"
"LDHU3_03.1070","LmjF.03.0980","eukaryotic initiation factor 2a putative"
"LDHU3_04.0020","LmjF.04.0010","calcium-translocating P-type ATPase"
"LDHU3_04.0030","LmjF.04.0020","BT1 family putative"
"LDHU3_04.0040","LmjF.04.0030","cAMP-specific phosphodiesterase putative"
"LDHU3_04.0050","LmjF.04.0035","hypothetical protein conserved"
"LDHU3_04.0060","LmjF.04.0040","hypothetical protein conserved"
"LDHU3_04.0070","LmjF.04.0045","hypothetical protein conserved"
"LDHU3_04.0080","LmjF.04.0050","hypothetical protein conserved"
"LDHU3_04.0090","LmjF.04.0060","DNA topoisomerase type IB small subunit putative"
"LDHU3_04.0100","LmjF.04.0070","hypothetical protein conserved"
"LDHU3_04.0110","LmjF.04.0080","hypothetical protein conserved"
"LDHU3_04.0120","LmjF.04.0090","hypothetical protein conserved"
"LDHU3_04.0130","LmjF.04.0100","hypothetical protein conserved"
"LDHU3_04.0140","LmjF.04.0110","hypothetical protein conserved"
"LDHU3_04.0150","LmjF.04.0120","exosome complex exonuclease RRP40 putative"
"LDHU3_04.0160","LmjF.04.0123","hypothetical protein conserved"
"LDHU3_04.0170","LmjF.04.0127","hypothetical protein conserved"
"LDHU3_04.0180","LmjF.04.0130","hypothetical protein conserved"
"LDHU3_04.0190","LmjF.04.0140","hypothetical protein conserved"
"LDHU3_04.0200","LmjF.04.0150","hypothetical protein conserved"
"LDHU3_04.0210","LmjF.04.0160","hypothetical protein conserved"
"LDHU3_04.0220","LmjF.04.0170","hypothetical protein conserved"
"LDHU3_04.0240","LmjF.04.0180","surface antigen-like protein"
"LDHU3_04.0250","LmjF.04.0190","surface antigen-like protein"
"LDHU3_04.0260","LmjF.04.0200","surface antigen-like protein"
"LDHU3_04.0270","LmjF.04.0210","surface antigen-like protein"
"LDHU3_04.0280","LmjF.04.0220","hypothetical protein conserved"
"LDHU3_04.0290","LmjF.04.0230","hypothetical protein conserved"
"LDHU3_04.0300","LmjF.04.0240","GRAM domain containing protein putative"
"LDHU3_04.0310","LmjF.04.0250","RNA pseudouridylate synthase-like protein"
"LDHU3_04.0320","LmjF.04.0260","Tetratricopeptide repeat putative"
"LDHU3_04.0330","LmjF.04.0270","Mitochondrial 39-S ribosomal protein L47 (MRP-L47) putative"
"LDHU3_04.0340","LmjF.04.0280","adenosine monophosphate deaminase putative"
"LDHU3_04.0350","LmjF.04.0290","Alcohol dehydrogenase GroES-like domain containing protein putative"
"LDHU3_04.0360","LmjF.04.0300","hypothetical protein conserved"
"LDHU3_04.0370","LmjF.04.0310","beta-fructofuranosidase putative"
"LDHU3_04.0380","LmjF.04.0320","beta-fructofuranosidase putative"
"LDHU3_04.0390","LmjF.04.0330","mitochondrial exoribonuclease DSS-1 putative"
"LDHU3_04.0400","LmjF.04.0340","ADP-ribosylation factor putative"
"LDHU3_04.0410","LmjF.04.0350","hypothetical protein conserved"
"LDHU3_04.0420","LmjF.04.0370","hypothetical protein conserved"
"LDHU3_04.0430","LmjF.04.0380","Phytanoyl-CoA dioxygenase (PhyH) putative"
"LDHU3_04.0480","LmjF.04.0390","hypothetical protein conserved"
"LDHU3_04.0500","LmjF.04.0400","anaphase promoting complex subunit 10-like protein"
"LDHU3_04.0520","LmjF.04.0410","hypothetical protein conserved"
"LDHU3_04.0530","LmjF.04.0420","Tetratricopeptide repeat putative"
"LDHU3_04.0540","LmjF.04.0430","hypothetical protein conserved"
"LDHU3_04.0570","LmjF.04.0450","cysteine peptidase Clan CA family C2 putative"
"LDHU3_04.0580","LmjF.04.0460","adenylosuccinate lyase putative"
"LDHU3_04.0600","LmjF.04.0470","60S ribosomal protein L11 (L5 L16)"
"LDHU3_04.0620","LmjF.04.0480","ADP-ribosylation factor putative"
"LDHU3_04.0630","LmjF.04.0490","hypothetical protein conserved"
"LDHU3_04.0640","LmjF.04.0500","Nucleotidyltransferase domain containing protein putative"
"LDHU3_04.0650","LmjF.04.0510","hypothetical protein conserved"
"LDHU3_04.0660","LmjF.04.0520","palmitoyl acyltransferase 1 putative"
"LDHU3_04.0670","LmjF.04.0530","hypothetical protein conserved"
"LDHU3_04.0690","LmjF.04.0540","Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_04.0710","LmjF.04.0550","Tetratricopeptide repeat/TPR repeat putative"
"LDHU3_04.0720","LmjF.04.0560","tyrosine phosphatase putative"
"LDHU3_04.0750","LmjF.04.0570","hypothetical protein conserved"
"LDHU3_04.0760","LmjF.04.0580","spermidine synthase"
"LDHU3_04.0770","LmjF.04.0590","hypothetical protein conserved"
"LDHU3_04.0780","LmjF.04.0600","Ankyrin repeat putative"
"LDHU3_04.0790","LmjF.04.0610","hypothetical protein conserved"
"LDHU3_04.0800","LmjF.04.0620","hypothetical protein conserved"
"LDHU3_04.0810","LmjF.04.0620","hypothetical protein"
"LDHU3_04.0840","LmjF.04.0625","hypothetical protein conserved"
"LDHU3_04.0850","LmjF.04.0630","hypothetical protein conserved"
"LDHU3_04.0860","LmjF.04.0640","Zinc finger C3HC4 type (RING finger) containing protein putative"
"LDHU3_04.0870","LmjF.04.0650","serine-threonine protein kinase-like protein"
"LDHU3_04.0880","LmjF.04.0660","hypothetical protein conserved"
"LDHU3_04.0890","LmjF.04.0670","hypothetical protein conserved"
"LDHU3_04.0900","LmjF.04.0680","ubiquitin-conjugating enzyme E2 putative"
"LDHU3_04.0910","LmjF.04.0690","Axonemal dynein light chain putative"
"LDHU3_04.0920","LmjF.04.0700","hypothetical protein conserved"
"LDHU3_04.0930","LmjF.04.0710","Tir chaperone protein (CesT) family/PDZ domain containing protein putative"
"LDHU3_04.0940","LmjF.04.0720","hypothetical protein conserved"
"LDHU3_04.0950","LmjF.04.0720","hypothetical protein"
"LDHU3_04.0960","LmjF.04.0740","hypothetical protein conserved"
"LDHU3_04.0970","LmjF.04.0750","hypothetical protein"
"LDHU3_04.0980","LmjF.04.0750","60S ribosomal protein L10 putative"
"LDHU3_04.0990","LmjF.04.0760","nascent CDS associated complex subunit- like protein copy 2"
"LDHU3_04.1000","LmjF.04.0770","nascent CDS associated complex subunit- like protein copy 2"
"LDHU3_04.1010","LmjF.04.0780","heat shock protein putative"
"LDHU3_04.1020","LmjF.04.0790","hypothetical protein conserved"
"LDHU3_04.1030","LmjF.04.0800","hypothetical protein conserved"
"LDHU3_04.1040","LmjF.04.0810","Pescadillo N-terminus/BRCA1 C Terminus (BRCT) domain containing protein putative"
"LDHU3_04.1050","LmjF.04.0820","Peptide deformylase 2 putative"
"LDHU3_04.1060","LmjF.04.0830","hypothetical protein conserved"
"LDHU3_04.1070","LmjF.04.0840","tyrosine phospatase-like protein"
"LDHU3_04.1080","LmjF.04.0850","serine peptidase Clan S- family S54 putative"
"LDHU3_04.1090","LmjF.04.0860","hypothetical protein conserved"
"LDHU3_04.1100","LmjF.04.0870","hypothetical protein conserved"
"LDHU3_04.1110","LmjF.04.0890","hypothetical protein conserved"
"LDHU3_04.1120","LmjF.04.0900","hypothetical protein conserved"
"LDHU3_04.1140","LmjF.04.0910","hypothetical protein conserved"
"LDHU3_04.1150","LmjF.04.0920","hypothetical protein conserved"
"LDHU3_04.1170","LmjF.04.0930","Cytochrome c oxidase biogenesis protein Cmc1 like putative"
"LDHU3_04.1180","LmjF.04.0940","chaperone protein DNAj putative"
"LDHU3_04.1190","LmjF.04.0950","60S ribosomal protein L10 putative"
"LDHU3_04.1200","LmjF.04.0960","adenylate kinase putative"
"LDHU3_04.1210","LmjF.04.0970","hypothetical protein conserved"
"LDHU3_04.1220","LmjF.04.0975","hypothetical protein conserved"
"LDHU3_04.1230","LmjF.04.0980","hypothetical protein conserved"
"LDHU3_04.1240","LmjF.04.0990","hypothetical protein conserved"
"LDHU3_04.1250","LmjF.04.1000","chloride channel protein putative"
"LDHU3_04.1260","LmjF.04.1010","Domain of unknown function (DUF947) putative"
"LDHU3_04.1270","LmjF.04.1030","COPI associated protein putative"
"LDHU3_04.1280","LmjF.04.1040","acyltransferase-like protein copy 1"
"LDHU3_04.1300","LmjF.04.1050","acyltransferase-like protein copy 2"
"LDHU3_04.1320","LmjF.04.1060","hypothetical protein conserved"
"LDHU3_04.1330","LmjF.04.1070","hypothetical protein conserved"
"LDHU3_04.1340","LmjF.04.1080","Transcriptional repressor TCF25 putative"
"LDHU3_04.1350","LmjF.04.1090","hypothetical protein conserved"
"LDHU3_04.1360","LmjF.04.1100","hypothetical protein conserved"
